Sentence #,Word,POS,Tag
Sentence: 0,For,IN,O
Sentence: 0,treatment,NN,RR
Sentence: 0,of,IN,O
Sentence: 0,uncomplicated,JJ,O
Sentence: 0,cervical,JJ,O
Sentence: 0,",",",",O
Sentence: 0,URETHRAL,NNP,CC
Sentence: 0,OR,NNP,CC
Sentence: 0,RECTAL,NNP,CC
Sentence: 0,GONORRHEA,NNP,CC
Sentence: 0,CDC,NNP,O
Sentence: 0,and,CC,O
Sentence: 0,others,NNS,O
Sentence: 0,recommend,VBP,O
Sentence: 0,IM,NNP,O
Sentence: 0,ceftriaxone,NN,O
Sentence: 0,or,CC,O
Sentence: 0,oral,JJ,O
Sentence: 0,cefixime,NN,O
Sentence: 0,;,:,O
Sentence: 0,IM,NNP,EE
Sentence: 0,CEFTRIAXONE,NNP,EE
Sentence: 0,is,VBZ,O
Sentence: 0,drug,NN,O
Sentence: 0,of,IN,O
Sentence: 0,choice,NN,O
Sentence: 0,for,IN,O
Sentence: 0,pharyngeal,JJ,O
Sentence: 0,infections,NNS,O
Sentence: 0,.,.,O
Sentence: 1,Diagnosis,NNP,O
Sentence: 1,specific,JJ,O
Sentence: 1,malignancies,NNS,O
Sentence: 1,available,JJ,O
Sentence: 1,for,IN,O
Sentence: 1,evaluation,NN,O
Sentence: 1,included,VBD,O
Sentence: 1,ALL,NNP,O
Sentence: 1,",",",",O
Sentence: 1,acute,JJ,O
Sentence: 1,myeloid,NN,O
Sentence: 1,leukaemia,NN,O
Sentence: 1,(,(,O
Sentence: 1,AML,NNP,O
Sentence: 1,),),O
Sentence: 1,",",",",O
Sentence: 1,Hodgkin,NNP,O
Sentence: 1,'s,POS,O
Sentence: 1,disease,NN,O
Sentence: 1,",",",",O
Sentence: 1,NHL,NNP,O
Sentence: 1,",",",",O
Sentence: 1,rhabdomyosarcoma,NN,O
Sentence: 1,",",",",O
Sentence: 1,neuroblastoma,NN,O
Sentence: 1,",",",",O
Sentence: 1,retinoblastoma,NN,O
Sentence: 1,",",",",O
Sentence: 1,OSTEOSARCOMA,NNP,CC
Sentence: 1,Wilms,NNP,O
Sentence: 1,',POS,O
Sentence: 1,tumour,NN,O
Sentence: 1,",",",",O
Sentence: 1,RETINOBLASTOMA,NNP,EE
Sentence: 1,Ewings,NNP,O
Sentence: 1,',POS,O
Sentence: 1,sarcoma,NN,O
Sentence: 1,",",",",O
Sentence: 1,central,JJ,O
Sentence: 1,nervous,JJ,O
Sentence: 1,system,NN,O
Sentence: 1,(,(,O
Sentence: 1,CNS,NNP,O
Sentence: 1,),),O
Sentence: 1,tumours,NN,O
Sentence: 1,and,CC,O
Sentence: 1,hepatoblastoma,NN,O
Sentence: 1,.,.,O
Sentence: 2,Acute,NNP,O
Sentence: 2,steady,JJ,O
Sentence: 2,state,NN,O
Sentence: 2,moderate,JJ,O
Sentence: 2,exercise,NN,O
Sentence: 2,significantly,RB,O
Sentence: 2,altered,VBD,O
